n,experimento,es_secuencial,cantThreadsLectura,cantThreadsMaximo,tiempo
1,cargarArchivos,No,1,1,138.807
2,cargarArchivos,No,2,1,123.40899999999999
3,cargarArchivos,No,3,1,122.874
4,cargarArchivos,No,4,1,119.676
5,cargarArchivos,No,5,1,110.235
6,cargarArchivos,No,6,1,101.2405
7,cargarArchivos,No,7,1,100.31
8,cargarArchivos,No,8,1,98.228
9,cargarArchivos,No,9,1,98.2109
10,cargarArchivos,No,10,1,96.61985
11,cargarArchivos,No,11,1,95.0715
12,cargarArchivos,No,12,1,95.23635
13,cargarArchivos,No,13,1,95.0715
14,cargarArchivos,No,14,1,93.5993
15,cargarArchivos,No,15,1,92.5286
16,cargarArchivos,No,16,1,90.9254
17,cargarArchivos,No,17,1,90.1794
18,cargarArchivos,No,18,1,89.03145
19,cargarArchivos,No,19,1,87.9691
20,cargarArchivos,No,20,1,87.8479
21,cargarArchivos,No,21,1,87.5085
22,cargarArchivos,No,22,1,87.34424999999999
23,cargarArchivos,No,23,1,87.263
24,cargarArchivos,No,24,1,86.90100000000001
25,cargarArchivos,No,25,1,86.4723
26,cargarArchivos,No,26,1,85.67825
27,cargarArchivos,No,27,1,85.1707
28,cargarArchivos,No,28,1,84.24455
29,cargarArchivos,No,29,1,83.2349
30,cargarArchivos,No,30,1,82.88669999999999
