n,experimento,es_secuencial,cantThreadsLectura,cantThreadsMaximo,tiempo
1,cargarArchivos,No,1,1,622.4
2,cargarArchivos,No,2,1,536.7785
3,cargarArchivos,No,3,1,467.511
4,cargarArchivos,No,4,1,465.2905
5,cargarArchivos,No,5,1,448.591
6,cargarArchivos,No,6,1,447.0565
7,cargarArchivos,No,7,1,444.334
8,cargarArchivos,No,8,1,447.0565
9,cargarArchivos,No,9,1,447.245
10,cargarArchivos,No,10,1,446.23699999999997
11,cargarArchivos,No,11,1,445.606
12,cargarArchivos,No,12,1,445.3275
13,cargarArchivos,No,13,1,445.322
14,cargarArchivos,No,14,1,444.6965
15,cargarArchivos,No,15,1,443.991
16,cargarArchivos,No,16,1,443.742
17,cargarArchivos,No,17,1,443.163
18,cargarArchivos,No,18,1,441.495
19,cargarArchivos,No,19,1,440.28
20,cargarArchivos,No,20,1,438.8105
21,cargarArchivos,No,21,1,437.504
22,cargarArchivos,No,22,1,436.65049999999997
23,cargarArchivos,No,23,1,434.175
24,cargarArchivos,No,24,1,433.389
25,cargarArchivos,No,25,1,433.024
26,cargarArchivos,No,26,1,431.9645
27,cargarArchivos,No,27,1,431.229
28,cargarArchivos,No,28,1,431.084
29,cargarArchivos,No,29,1,430.363
30,cargarArchivos,No,30,1,430.03
31,cargarArchivos,No,31,1,429.088
32,cargarArchivos,No,32,1,428.087
33,cargarArchivos,No,33,1,427.306
34,cargarArchivos,No,34,1,426.32349999999997
35,cargarArchivos,No,35,1,425.943
36,cargarArchivos,No,36,1,425.54650000000004
37,cargarArchivos,No,37,1,424.949
38,cargarArchivos,No,38,1,424.541
39,cargarArchivos,No,39,1,424.228
40,cargarArchivos,No,40,1,423.90700000000004
41,cargarArchivos,No,41,1,423.512
42,cargarArchivos,No,42,1,423.01750000000004
43,cargarArchivos,No,43,1,421.656
44,cargarArchivos,No,44,1,420.294
45,cargarArchivos,No,45,1,419.749
46,cargarArchivos,No,46,1,419.4675
47,cargarArchivos,No,47,1,418.966
48,cargarArchivos,No,48,1,418.1575
49,cargarArchivos,No,49,1,417.464
50,cargarArchivos,No,50,1,417.206
51,cargarArchivos,No,51,1,415.99
52,cargarArchivos,No,52,1,415.7635
53,cargarArchivos,No,53,1,415.522
54,cargarArchivos,No,54,1,415.15999999999997
55,cargarArchivos,No,55,1,414.826
56,cargarArchivos,No,56,1,414.655
57,cargarArchivos,No,57,1,414.419
58,cargarArchivos,No,58,1,414.18449999999996
59,cargarArchivos,No,59,1,413.46
60,cargarArchivos,No,60,1,412.558
