n,experimento,es_secuencial,cantThreadsLectura,cantThreadsMaximo,tiempo
1,maximo,No,1,1,0.331943
2,maximo,No,1,1,0.43257199999999996
3,maximo,No,1,1,0.52171
4,maximo,No,1,1,0.7171015000000001
5,maximo,No,1,1,0.89785
6,maximo,No,1,1,0.9858469999999999
7,maximo,No,1,1,1.15553
8,maximo,No,1,1,1.36863
9,maximo,No,1,1,1.43465
10,maximo,No,1,1,1.496975
1,maximo,No,1,2,1.43465
2,maximo,No,1,2,1.36863
3,maximo,No,1,2,1.15553
4,maximo,No,1,2,0.9858469999999999
5,maximo,No,1,2,0.930325
6,maximo,No,1,2,0.9699595000000001
7,maximo,No,1,2,1.01202
8,maximo,No,1,2,1.062445
9,maximo,No,1,2,1.10168
10,maximo,No,1,2,1.11952
1,maximo,No,1,3,1.10168
2,maximo,No,1,3,1.062445
3,maximo,No,1,3,1.01202
4,maximo,No,1,3,0.9524485
5,maximo,No,1,3,0.930325
6,maximo,No,1,3,0.9001245
7,maximo,No,1,3,0.891294
8,maximo,No,1,3,0.9001245
9,maximo,No,1,3,0.92322
10,maximo,No,1,3,0.9278625
1,maximo,No,1,4,0.92322
2,maximo,No,1,4,0.9001245
3,maximo,No,1,4,0.889557
4,maximo,No,1,4,0.8784215
5,maximo,No,1,4,0.867329
6,maximo,No,1,4,0.838787
7,maximo,No,1,4,0.817577
8,maximo,No,1,4,0.8163130000000001
9,maximo,No,1,4,0.832494
10,maximo,No,1,4,0.853966
1,maximo,No,1,5,0.832494
2,maximo,No,1,5,0.8163130000000001
3,maximo,No,1,5,0.811587
4,maximo,No,1,5,0.8056215
5,maximo,No,1,5,0.78612
6,maximo,No,1,5,0.769199
7,maximo,No,1,5,0.757644
8,maximo,No,1,5,0.7634465
9,maximo,No,1,5,0.772868
10,maximo,No,1,5,0.7789775
1,maximo,No,1,6,0.772868
2,maximo,No,1,6,0.7634465
3,maximo,No,1,6,0.757644
4,maximo,No,1,6,0.7466115
5,maximo,No,1,6,0.738007
6,maximo,No,1,6,0.7200025
7,maximo,No,1,6,0.713412
8,maximo,No,1,6,0.7200025
9,maximo,No,1,6,0.738007
10,maximo,No,1,6,0.7418975
1,maximo,No,1,7,0.738007
2,maximo,No,1,7,0.7200025
3,maximo,No,1,7,0.713412
4,maximo,No,1,7,0.706395
5,maximo,No,1,7,0.701943
6,maximo,No,1,7,0.6972935
7,maximo,No,1,7,0.700455
8,maximo,No,1,7,0.7024935
9,maximo,No,1,7,0.707296
10,maximo,No,1,7,0.7133
1,maximo,No,1,8,0.707296
2,maximo,No,1,8,0.7024935
3,maximo,No,1,8,0.700455
4,maximo,No,1,8,0.6852865
5,maximo,No,1,8,0.681811
6,maximo,No,1,8,0.6772659999999999
7,maximo,No,1,8,0.676788
8,maximo,No,1,8,0.6773825
9,maximo,No,1,8,0.681811
10,maximo,No,1,8,0.6852865
1,maximo,No,1,9,0.681811
2,maximo,No,1,9,0.6773825
3,maximo,No,1,9,0.676205
4,maximo,No,1,9,0.6617655
5,maximo,No,1,9,0.658664
6,maximo,No,1,9,0.6551
7,maximo,No,1,9,0.655846
8,maximo,No,1,9,0.661179
9,maximo,No,1,9,0.66305
10,maximo,No,1,9,0.6671484999999999
1,maximo,No,1,10,0.66305
2,maximo,No,1,10,0.661179
3,maximo,No,1,10,0.655846
4,maximo,No,1,10,0.6511495
5,maximo,No,1,10,0.648264
6,maximo,No,1,10,0.646782
7,maximo,No,1,10,0.645546
8,maximo,No,1,10,0.648141
9,maximo,No,1,10,0.651726
10,maximo,No,1,10,0.6551
1,maximo,No,1,11,0.651726
2,maximo,No,1,11,0.648141
3,maximo,No,1,11,0.644995
4,maximo,No,1,11,0.6406419999999999
5,maximo,No,1,11,0.639742
6,maximo,No,1,11,0.6401795
7,maximo,No,1,11,0.640667
8,maximo,No,1,11,0.6449005
9,maximo,No,1,11,0.64658
10,maximo,No,1,11,0.6482945
1,maximo,No,1,12,0.64658
2,maximo,No,1,12,0.6449005
3,maximo,No,1,12,0.640667
4,maximo,No,1,12,0.6380175
5,maximo,No,1,12,0.634184
6,maximo,No,1,12,0.6328165
7,maximo,No,1,12,0.636293
8,maximo,No,1,12,0.6406419999999999
